date,n,top5
2022-05-03,108,"[{'id': '2330', 'w': 0.567, 'roic': 24.4}, {'id': '2454', 'w': 0.0428, 'roic': 27.8}, {'id': '1303', 'w': 0.0255, 'roic': 18.6}, {'id': '1301', 'w': 0.0254, 'roic': 17.5}, {'id': '2002', 'w': 0.0211, 'roic': 15.6}]"
2022-06-01,111,"[{'id': '2330', 'w': 0.56, 'roic': 25.6}, {'id': '2454', 'w': 0.0451, 'roic': 27.6}, {'id': '1301', 'w': 0.0244, 'roic': 16.8}, {'id': '1303', 'w': 0.0238, 'roic': 17.4}, {'id': '2303', 'w': 0.0208, 'roic': 20.7}]"
2022-07-01,111,"[{'id': '2330', 'w': 0.556, 'roic': 25.6}, {'id': '2454', 'w': 0.0401, 'roic': 27.6}, {'id': '1301', 'w': 0.0296, 'roic': 16.8}, {'id': '1303', 'w': 0.0278, 'roic': 17.4}, {'id': '2303', 'w': 0.0197, 'roic': 20.7}]"
2022-08-01,111,"[{'id': '2330', 'w': 0.5683, 'roic': 25.6}, {'id': '2454', 'w': 0.0418, 'roic': 27.6}, {'id': '1301', 'w': 0.0252, 'roic': 16.8}, {'id': '1303', 'w': 0.0233, 'roic': 17.4}, {'id': '2002', 'w': 0.0195, 'roic': 15.6}]"
2022-09-01,115,"[{'id': '2330', 'w': 0.58, 'roic': 27.0}, {'id': '2454', 'w': 0.0409, 'roic': 32.8}, {'id': '1301', 'w': 0.0257, 'roic': 18.4}, {'id': '1303', 'w': 0.0242, 'roic': 16.5}, {'id': '2303', 'w': 0.0202, 'roic': 24.2}]"
2022-10-03,117,"[{'id': '2330', 'w': 0.5635, 'roic': 27.0}, {'id': '2454', 'w': 0.0393, 'roic': 32.8}, {'id': '1301', 'w': 0.0281, 'roic': 18.4}, {'id': '1303', 'w': 0.0275, 'roic': 16.5}, {'id': '2303', 'w': 0.02, 'roic': 24.2}]"
2022-11-01,116,"[{'id': '2330', 'w': 0.5461, 'roic': 27.0}, {'id': '2454', 'w': 0.0444, 'roic': 32.8}, {'id': '1303', 'w': 0.0288, 'roic': 16.5}, {'id': '1301', 'w': 0.0279, 'roic': 18.4}, {'id': '2303', 'w': 0.0228, 'roic': 24.2}]"
2022-12-01,115,"[{'id': '2330', 'w': 0.5811, 'roic': 29.0}, {'id': '2454', 'w': 0.0459, 'roic': 31.6}, {'id': '2308', 'w': 0.0355, 'roic': 16.0}, {'id': '2303', 'w': 0.0223, 'roic': 25.4}, {'id': '1216', 'w': 0.0154, 'roic': 15.5}]"
2023-01-03,116,"[{'id': '2330', 'w': 0.5721, 'roic': 29.0}, {'id': '2454', 'w': 0.0429, 'roic': 31.6}, {'id': '2308', 'w': 0.0358, 'roic': 16.0}, {'id': '2303', 'w': 0.0218, 'roic': 25.4}, {'id': '1216', 'w': 0.0168, 'roic': 15.5}]"
2023-02-01,116,"[{'id': '2330', 'w': 0.5931, 'roic': 29.0}, {'id': '2454', 'w': 0.0428, 'roic': 31.6}, {'id': '2308', 'w': 0.0327, 'roic': 16.0}, {'id': '2303', 'w': 0.023, 'roic': 25.4}, {'id': '1216', 'w': 0.015, 'roic': 15.5}]"
2023-03-01,98,"[{'id': '2330', 'w': 0.6111, 'roic': 31.0}, {'id': '2454', 'w': 0.0489, 'roic': 27.2}, {'id': '2308', 'w': 0.0336, 'roic': 17.2}, {'id': '2303', 'w': 0.0251, 'roic': 25.3}, {'id': '2382', 'w': 0.0122, 'roic': 16.6}]"
2023-04-06,99,"[{'id': '2330', 'w': 0.6113, 'roic': 31.0}, {'id': '2454', 'w': 0.0456, 'roic': 27.2}, {'id': '2308', 'w': 0.0335, 'roic': 17.2}, {'id': '2303', 'w': 0.0253, 'roic': 25.3}, {'id': '2382', 'w': 0.0135, 'roic': 16.6}]"
2023-05-02,98,"[{'id': '2330', 'w': 0.6012, 'roic': 31.0}, {'id': '2454', 'w': 0.0423, 'roic': 27.2}, {'id': '2308', 'w': 0.0353, 'roic': 17.2}, {'id': '2303', 'w': 0.0248, 'roic': 25.3}, {'id': '2382', 'w': 0.015, 'roic': 16.6}]"
2023-06-01,88,"[{'id': '2330', 'w': 0.6286, 'roic': 29.7}, {'id': '2454', 'w': 0.0448, 'roic': 25.8}, {'id': '2308', 'w': 0.0356, 'roic': 17.1}, {'id': '2303', 'w': 0.0241, 'roic': 22.7}, {'id': '2382', 'w': 0.0183, 'roic': 17.1}]"
2023-07-03,88,"[{'id': '2330', 'w': 0.6189, 'roic': 29.7}, {'id': '2454', 'w': 0.0427, 'roic': 25.8}, {'id': '2308', 'w': 0.0391, 'roic': 17.1}, {'id': '2382', 'w': 0.0238, 'roic': 17.1}, {'id': '2303', 'w': 0.0229, 'roic': 22.7}]"
