stock_id,name,industry,market_cap,price,capital
3006,晶豪科,半導體業,76469780700.0,256.5,2981278000.0
3023,信邦,電子工業,76461976500.0,318.5,2400690000.0
1229,聯華,食品工業,76148733680.0,42.4,17959607000.0
2637,慧洋-KY,航運業,76133738400.0,102.0,7464092000.0
6949,沛爾生醫-創,創新版股票,75745015500.0,1155.0,655801000.0
2855,統一證,金融保險,75426622950.0,47.1,16014145000.0
2455,全新,通信網路業,75071795400.0,406.0,1849059000.0
8039,台虹,電子工業,74354658000.0,282.0,2636690000.0
9904,寶成,其他,73669680000.0,25.0,29467872000.0
3406,玉晶光,光電業,73508501200.0,652.0,1127431000.0
3005,神基,電子工業,73074713400.0,117.0,6245702000.0
6691,洋基工程,其他電子業,72041909600.0,593.0,1214872000.0
6531,愛普*,半導體業,72030283500.0,883.0,815745000.0
2915,潤泰全,貿易百貨,67473878680.0,61.1,11043188000.0
3030,德律,其他電子業,67321560000.0,285.0,2362160000.0
6005,群益證,金融保險,66538333265.0,30.65,21709081000.0
2845,遠東銀,金融保險,66411136155.0,13.65,48652847000.0
8454,富邦媒,貿易百貨,66376312650.0,250.5,2649753000.0
2645,長榮航太,航運業,66299049300.0,177.0,3745709000.0
2634,漢翔,航運業,65271390030.0,69.3,9418671000.0
3042,晶技,電子工業,65168670000.0,190.0,3429930000.0
3167,大量,電機機械,64897287500.0,725.0,895135000.0
2441,超豐,電子工業,63995163750.0,112.5,5688459000.0
2606,裕民,航運業,61351043819.99999,72.6,8450557000.0
8150,南茂,電子工業,61082152770.0,86.7,7045231000.0
6414,樺漢,電子工業,59769425000.0,395.0,1513150000.0
2006,東和鋼鐵,鋼鐵工業,59585446079.99999,81.6,7302138000.0
2371,大同,電機機械,59363043240.0,27.6,21508349000.0
3583,辛耘,半導體業,58860524800.0,704.0,836087000.0
8021,尖點,其他電子業,58393975700.0,397.0,1470881000.0
6472,保瑞,生技醫療業,58122337000.0,455.0,1277414000.0
2486,一詮,光電業,57437291350.0,243.5,2358821000.0
2889,國票金,金融保險,57228625125.0,15.75,36335635000.0
7799,禾榮科,化學生技醫療,56641386750.0,358.5,1579955000.0
6278,台表科,光電業,54678500800.0,187.0,2923984000.0
6944,兆聯實業,綠能環保,54295033200.0,708.0,766879000.0
1795,美時,化學生技醫療,53112043950.0,196.5,2702903000.0
4919,新唐,半導體業,51573349200.0,114.0,4523978000.0
2481,強茂,半導體業,50821281700.0,133.0,3821149000.0
1477,聚陽,紡織纖維,50078821100.0,203.0,2466937000.0
9941,裕融,其他,49159340020.0,85.4,5756363000.0
8112,至上,電子工業,49114904850.0,93.5,5252931000.0
1319,東陽,汽車工業,48974303880.0,82.8,5914771000.0
6214,精誠,資訊服務業,48867636450.0,179.5,2722431000.0
8926,台汽電,油電燃氣業,47575158600.0,57.3,8302820000.0
3090,日電貿,電子工業,47448588000.0,165.0,2875672000.0
2312,金寶,其他電子業,46759846860.0,31.05,15059532000.0
1722,台肥,化學工業,45619000000.0,46.55,9800000000.0
2352,佳世達,電腦及週邊設備業,45518587200.0,28.8,15805065000.0
6451,訊芯-KY,半導體業,45412439600.0,418.0,1086422000.0
7795,長廣,電子工業,44538102500.0,565.0,788285000.0
8028,昇陽半導體,半導體業,44510947750.0,242.5,1835503000.0
3035,智原,半導體業,44163275850.0,169.5,2605503000.0
6415,矽力*-KY,電子工業,43319083500.0,445.5,972370000.0
3563,牧德,光電業,43301461600.0,677.0,639608000.0
2458,義隆,半導體業,42695196200.0,140.5,3038804000.0
4766,南寶,化學工業,42501171750.0,352.5,1205707000.0
3714,富采,電子工業,42283990650.0,57.3,7379405000.0
9921,巨大,其他,42147030500.0,107.5,3920654000.0
7822,倍利科,半導體業,41824814400.0,918.0,455608000.0
2388,威盛,半導體業,41083663010.0,73.9,5559359000.0
6191,精成科,電子工業,40942846000.0,82.0,4993030000.0
2421,建準,電子工業,40889477250.0,142.5,2869437000.0
6271,同欣電,半導體業,40243684250.0,192.5,2090581000.0
1409,新纖,紡織纖維,39651027850.0,24.5,16184093000.0
9939,宏全,其他,39635391000.0,134.0,2957865000.0
6116,彩晶,光電業,39449437620.0,13.8,28586549000.0
2464,盟立,其他電子業,38785791600.0,179.0,2166804000.0
6831,邁科,電子工業,38745000000.0,574.0,675000000.0
6282,康舒,電子工業,37882455975.0,44.25,8561007000.0
3019,亞光,光電業,37837548450.0,135.5,2792439000.0
2851,中再保,金融保險,37698312480.0,47.1,8003888000.0
2472,立隆電,電子工業,35912251800.0,218.0,1647351000.0
3376,新日興,電子零組件業,35824775400.0,183.0,1957638000.0
8016,矽創,半導體業,35560522400.0,296.0,1201369000.0
3596,智易,通信網路業,35477042300.0,161.0,2203543000.0
6197,佳必琪,電子工業,35465953950.0,290.5,1220859000.0
2351,順德,電子工業,35453322000.0,183.0,1937340000.0
5469,瀚宇博,電子工業,34371936200.0,70.7,4861660000.0
2498,宏達電,通信網路業,34238176245.000004,40.95,8360971000.0
7711,永擎,電子工業,33089734600.0,461.5,717004000.0
1808,潤隆,建材營造,33042172900.0,37.0,8930317000.0
1215,卜蜂,食品工業,33016491200.0,112.0,2947901000.0
2428,興勤,電子工業,32476569450.0,253.5,1281127000.0
3413,京鼎,半導體業,31511874350.0,284.5,1107623000.0
2201,裕隆,汽車工業,31351038090.0,29.3,10700013000.0
2548,華固,建材營造,31172573250.0,97.5,3197187000.0
1314,中石化,塑膠工業,31149317146.0,8.23,37848502000.0
4585,達明,其他電子業,30911959500.0,295.5,1046090000.0
6715,嘉基,電子零組件業,30586752000.0,448.0,682740000.0
8033,雷虎,其他,30538827900.0,185.5,1646298000.0
2204,中華,汽車工業,30504478530.0,55.1,5536203000.0
3715,定穎投控,電子零組件業,30342482200.0,107.0,2835746000.0
8271,宇瞻,半導體業,30135301500.0,232.5,1296142000.0
2367,燿華,電子工業,29733259720.0,42.1,7062532000.0
2316,楠梓電,電子工業,28964369250.0,158.5,1827405000.0
2897,王道銀行,金融保險,28754918475.0,10.25,28053579000.0
2393,億光,電子工業,28687533570.0,64.7,4433931000.0
3016,嘉晶,半導體業,28571118960.0,98.4,2903569000.0
1904,正隆,造紙工業,28482654650.0,25.7,11082745000.0
3576,聯合再生,光電業,28160860420.0,17.3,16277954000.0
1514,亞力,電機機械,27993621250.0,102.5,2731085000.0
9914,美利達,其他,26250777640.0,87.8,2989838000.0
2363,矽統,半導體業,26109901740.0,50.7,5149882000.0
6166,凌華,電子工業,25806847050.0,118.5,2177793000.0
3673,TPK-KY,光電業,25741818540.0,63.3,4066638000.0
2359,所羅門,其他電子業,25720665000.0,150.0,1714711000.0
2476,鉅祥,電子零組件業,25406436500.0,116.5,2180810000.0
5534,長虹,建材營造,25352210400.0,80.4,3153260000.0
9958,世紀鋼,鋼鐵工業,25183463400.0,102.0,2468967000.0
6830,汎銓,其他電子業,25139129400.0,462.0,544137000.0
2426,鼎元,光電業,24711153060.0,82.2,3006223000.0
3617,碩天,其他電子業,24591777000.0,259.5,947660000.0
4576,大銀微系統,電機機械,24259864500.0,202.5,1198018000.0
5388,中磊,通信網路業,23616985760.0,77.6,3043426000.0
3033,威健,電子工業,23477629275.0,45.45,5165595000.0
2103,台橡,橡膠工業,23450161160.0,28.4,8257099000.0
4967,十銓,半導體業,23449870800.0,276.0,849633000.0
8110,華東,電子工業,23401843480.0,45.2,5177399000.0
2707,晶華,觀光事業,23314785600.0,183.0,1274032000.0
2374,佳能,光電業,23152458850.0,68.5,3379921000.0
6456,GIS-KY,電子工業,22979906400.0,68.0,3379398000.0
2520,冠德,建材營造,22429125280.0,36.8,6094871000.0
6177,達麗,建材營造,22414841500.0,47.5,4718914000.0
2493,揚博,電子工業,22379582250.0,176.5,1267965000.0
8081,致新,半導體業,22146229700.0,257.0,861721000.0
2605,新興,航運業,22126354740.0,37.8,5853533000.0
1711,永光,化學工業,21964863220.0,40.1,5477522000.0
6672,騰輝電子-KY,電子工業,21833403500.0,267.5,816202000.0
2489,瑞軒,光電業,21746500000.0,35.65,6100000000.0
2392,正崴,電子零組件業,21312799040.0,41.6,5123269000.0
4722,國精化,化學工業,21173689400.0,206.0,1027849000.0
8261,富鼎,半導體業,21100916000.0,177.5,1188784000.0
2439,美律,通信網路業,20925407250.0,82.5,2536413000.0
1723,中碳,化學生技醫療,20918658520.0,88.3,2369044000.0
5607,遠雄港,航運業,20713907110.0,55.9,3705529000.0
6719,力智,半導體業,20417539500.0,193.5,1055170000.0
6269,台郡,電子工業,20207085600.0,62.4,3238315000.0
7788,松川精密,電子工業,19816881000.0,248.5,797460000.0
6206,飛捷,電腦及週邊設備業,19814128550.0,138.5,1430623000.0
3605,宏致,電子工業,18954667900.0,108.5,1746974000.0
4764,雙鍵,化學工業,18733719900.0,219.0,855421000.0
2466,冠西電,光電業,18039704800.0,104.0,1734587000.0
1718,中纖,化學工業,18039190990.0,10.7,16859057000.0
2478,大毅,電子工業,17874315550.0,123.5,1447313000.0
6525,捷敏-KY,半導體業,17808541200.0,138.0,1290474000.0
5284,jpp-KY,其他,17692608150.0,334.5,528927000.0
3704,合勤控,通信網路業,17303284250.0,41.65,4154450000.0
1714,和桐,化學工業,16861021600.0,17.0,9918248000.0
6753,龍德造船,航運業,16591327800.0,141.5,1172532000.0
3022,威強電,電子工業,15929121560.0,90.2,1765978000.0
1709,和益,化學工業,15884642789.999998,33.3,4770163000.0
3135,凌航,半導體業,15357190750.0,170.5,900715000.0
4906,正文,通信網路業,15097831100.0,34.6,4363535000.0
3149,正達,電子工業,14705184000.0,65.0,2262336000.0
1563,巧新,汽車工業,14326114350.0,63.5,2256081000.0
1710,東聯,化學工業,14038394135.0,15.85,8857031000.0
2340,台亞,光電業,13685031360.0,31.2,4386228000.0
2375,凱美,電子工業,13312724250.0,122.5,1086753000.0
2617,台航,航運業,13269965100.0,31.8,4172945000.0
2723,美食-KY,觀光事業,13176000000.0,73.2,1800000000.0
2436,偉詮電,半導體業,12842771040.0,62.9,2041776000.0
1708,東鹼,化學工業,12798687380.0,51.4,2490017000.0
6533,晶心科,半導體業,12662725000.0,250.0,506509000.0
6209,今國光,光電業,12542157650.0,69.5,1804627000.0
3055,蔚華科,電子通路業,12474776650.0,108.5,1149749000.0
4916,事欣科,電腦及週邊設備業,12210581670.0,98.7,1237141000.0
