stock_id,name,industry,market,market_cap,price
5314,世紀*,半導體業,tpex,31289960000.0,26.0
6412,群電,電子工業,twse,31259991828.0,78.0
6491,晶碩,生技醫療業,twse,28584480000.0,372.0
9914,美利達,其他,twse,26250796112.426758,87.80000305175781
6757,台灣虎航-創,創新版股票,twse,25641773649.406433,55.79999923706055
6561,是方,通信網路業,tpex,24972991065.0,324.5
6605,帝寶,汽車工業,twse,23463020600.0,141.5
2707,晶華,觀光事業,twse,23314749000.0,183.0
6456,GIS-KY,電子工業,twse,22454402400.0,68.0
6291,沛亨,半導體業,tpex,20202000000.0,388.5
6803,崑鼎,其他,tpex,19763239770.0,271.5
2727,王品,觀光事業,twse,19679038387.5,237.5
6449,鈺邦,電子零組件業,twse,19449606996.0,214.0
6579,研揚,電子工業,twse,18600376708.0,148.0
6547,高端疫苗,生技醫療業,tpex,18311319550.815582,55.70000076293945
9911,櫻花,其他,twse,18266362116.0,83.0
6525,捷敏-KY,電子工業,twse,17808486000.0,138.0
2704,國賓,觀光事業,twse,17061935449.5,46.5
5443,均豪,光電業,tpex,16913190000.0,105.0
9930,中聯資源,其他,twse,15931413620.758057,64.0999984741211
4536,拓凱,其他,twse,15621040000.0,172.0
6589,台康生技,生技醫療業,twse,15261090480.207966,51.20000076293945
9802,鈺齊-KY,其他,twse,14370928000.0,71.5
6125,廣運,光電業,tpex,14167910102.609825,54.70000076293945
8462,柏文,觀光餐旅,twse,14107918500.0,175.5
2731,雄獅,觀光事業,twse,13665227000.0,146.5
2340,台亞,光電業,twse,13661481934.066772,31.200000762939453
6535,順藥,生技醫療業,tpex,13549603498.063087,80.9000015258789
8478,東哥遊艇,其他,twse,13438035468.0,143.0
6443,元晶,電子工業,twse,13307075534.732857,25.950000762939453
2723,美食-KY,觀光事業,twse,13175999450.683594,73.19999694824219
6768,志強-KY,其他,twse,13046193389.35852,65.19999694824219
6533,晶心科,電子工業,twse,12662750000.0,250.0
6576,逸達,生技醫療業,tpex,12603243280.0,80.0
2753,八方雲集,觀光事業,twse,12529260000.0,188.0
6829,千附精密,電機機械,tpex,12425490000.0,210.0
6581,鋼聯,其他,twse,12072903500.0,108.5
5306,桂盟,其他,twse,12058273495.87616,95.69999694824219
6438,迅得,電子工業,twse,11837710800.0,144.0
8091,翔名,電子零組件業,tpex,11718007500.0,219.5
6284,佳邦,電子零組件業,tpex,11246505916.0,76.0
6469,大樹,生技醫療業,tpex,11221258008.47477,70.5999984741211
6550,北極星藥業-KY,生技醫療業,twse,10961210428.0,12.25
8499,鼎炫-KY,其他,twse,10908872605.0,265.0
3551,世禾,其他電子類,tpex,10742218860.0,174.0
6854,錼創科技-KY創,創新版股票,twse,10688548145.871185,91.30000305175781
6464,台數科,其他,twse,10580646960.0,79.0
2495,普安,其他電子業,twse,10162438642.406464,37.150001525878906
8341,日友,其他,twse,9957999801.635742,76.5999984741211
6541,泰福-KY,生技醫療業,twse,9791246462.818554,36.95000076293945
6873,泓德能源-創,創新板股票,twse,9643647000.0,69.0
8390,金益鼎,其他,tpex,9515496672.0,99.0
9136,巨騰-DR,存託憑證,twse,9513705048.75,11.25
6435,大中,半導體業,tpex,9402711000.0,251.0
6811,宏碁資訊,資訊服務業,tpex,9367474000.0,226.0
5287,數字,電子商務業,tpex,9348135250.0,155.0
6534,正瀚-創,創新版股票,twse,9303840307.617188,92.30000305175781
6426,統新,通信網路業,twse,9280669000.0,241.0
3708,上緯投控,化學工業,twse,9271880244.0,103.5
2640,大車隊,其他,tpex,9215707500.0,155.5
6462,神盾,半導體業,tpex,9125075400.0,100.0
6509,聚和,化學工業,tpex,9101719453.539215,46.099998474121094
6869,雲豹能源-創,創新板股票,twse,8949934747.575157,67.0999984741211
6585,鼎基,其他,twse,8403562885.5,116.5
8473,山林水,其他,twse,8392038023.727417,46.349998474121094
5236,凌陽創新,半導體業,tpex,8130547149.0,135.5
8938,明安,其他,tpex,7920253915.76004,52.20000076293945
4419,元勝,紡織纖維,tpex,7823794901.25,46.25
6763,綠界科技,電子商務業,tpex,7748047092.178574,42.099998474121094
6208,日揚,電子零組件業,tpex,7698680954.5,81.5
6411,晶焱,半導體業,tpex,7655621845.32827,78.0999984741211
1268,漢來美食,觀光事業,tpex,7600271400.0,180.0
6416,瑞祺電通,電子工業,twse,7408148000.0,101.0
8383,千附,其他電子類,tpex,7366428044.265747,65.30000305175781
6538,倉和,電子零組件業,tpex,7326502500.0,196.5
5278,尚凡,電子商務業,tpex,7154885039.340488,24.399999618530273
3130,一零四,資訊服務業,twse,7086214450.0,213.5
2459,敦吉,電子通路業,twse,7085491438.873291,67.0999984741211
2729,瓦城,觀光事業,tpex,6735239063.0,161.0
2442,新美齊,電腦及週邊設備業,twse,6472117093.83383,19.899999618530273
9943,好樂迪,觀光事業,twse,6458849725.003433,51.599998474121094
2706,第一店,觀光事業,twse,6274974995.36705,12.550000190734863
6163,華電網,通信網路業,tpex,6207852224.731445,42.150001525878906
6499,益安,生技醫療業,tpex,6156000705.5,63.5
2614,東森,貿易百貨,twse,6152580735.116661,18.799999237060547
2601,益航,貿易百貨,twse,6095095025.010515,7.389999866485596
8105,凌巨,電子工業,twse,6093319704.218006,13.800000190734863
6741,91APP*-KY,電子商務業,tpex,6044431336.5,54.5
9924,福興,其他,twse,5796788864.222076,38.45000076293945
8482,商億-KY,其他,twse,5185845889.656067,49.349998474121094
8044,網家,電子商務業,tpex,5152848773.611975,25.399999618530273
3219,倚強股份,半導體業,tpex,5139510898.471069,71.5999984741211
6690,安碁資訊,資訊服務業,tpex,4919954080.0,164.0
6577,勁豐,電腦及週邊設備業,tpex,4846841816.711426,80.69999694824219
2701,萬企,觀光事業,twse,4814657514.175415,10.699999809265137
2755,揚秦,觀光事業,tpex,4792034592.5,102.5
2752,豆府,觀光事業,tpex,4778201119.0,179.0
9934,成霖,其他,twse,4706144136.504736,11.449999809265137
8467,波力-KY,其他,twse,4687399491.312218,96.9000015258789
8438,昶昕,其他,twse,4637221113.449097,66.30000305175781
6417,韋僑,通信網路業,tpex,4629003000.0,109.5
5209,新鼎,資訊服務業,tpex,4622800000.0,162.5
1472,三洋實業,紡織纖維,twse,4597955903.109543,87.5999984741211
