stock_id,name,industry,market_cap,price,roic_3y,roic_latest
2258,鴻華先進-創,創新版股票,55818403840.0,32.0,-5.81,-9.79
6535,順藥,生技醫療業,13549603840.0,80.9,-6.83,-3.33
2867,三商壽,金融保險,57225158656.0,9.7,-7.53,0.33
6443,元晶,電子工業,13307075584.0,25.95,-12.87,-32.37
6949,沛爾生醫-創,創新版股票,75698757632.0,1155.0,-20.8,-12.86
8046,南電,電子零組件業,733397843968.0,1135.0,,
8046,南電,電子零組件業,733397843968.0,1135.0,,
6415,矽力*-KY,半導體業,173011255296.0,445.5,,
6415,矽力*-KY,半導體業,173011255296.0,445.5,,
5536,聖暉*,其他電子類,109191217152.0,880.0,,
6510,精測,半導體業,87261847552.0,2650.0,,
4979,華星光,通信網路業,82141151232.0,577.0,,
6121,新普,電腦及週邊設備業,71768555520.0,388.0,,
6548,長科*,半導體業,63782113280.0,69.1,,
8021,尖點,電子工業,58393935872.0,397.0,,
8021,尖點,電子工業,58393935872.0,397.0,,
7799,禾榮科,生技醫療業,56730828800.0,358.5,,
7799,禾榮科,生技醫療業,56730828800.0,358.5,,
8028,昇陽半導體,電子工業,44089233408.0,242.5,,
8028,昇陽半導體,電子工業,44089233408.0,242.5,,
8932,智通*,其他,37537886208.0,106.0,,
8932,智通*,數位雲端類,37537886208.0,106.0,,
6197,佳必琪,電子零組件業,35859070976.0,290.5,,
6197,佳必琪,電子零組件業,35859070976.0,290.5,,
8016,矽創,電子工業,34812559360.0,296.0,,
8016,矽創,半導體業,34812559360.0,296.0,,
5314,世紀*,半導體業,31289958400.0,26.0,,
5314,世紀*,其他,31289958400.0,26.0,,
7805,威聯通,數位雲端類,26950500352.0,678.0,,
4971,IET-KY,半導體業,23511617536.0,588.0,,
2707,晶華,觀光事業,23314749440.0,183.0,,
7827,漢康-KY創,生技醫療業,22476462080.0,161.0,,
7827,漢康-KY創,生技醫療業,22476462080.0,161.0,,
7827,漢康-KY創,生技醫療業,22476462080.0,161.0,,
5425,台半,半導體業,21831739392.0,88.2,,
7786,東方風能,綠能環保,21466388480.0,122.0,,
5530,龍巖,其他,21214242816.0,50.5,,
6176,瑞儀,光電業,20995792896.0,81.3,,
6176,瑞儀,光電業,20995792896.0,81.3,,
4961,天鈺,電子工業,19878998016.0,166.0,,
4961,天鈺,電子工業,19878998016.0,166.0,,
6613,朋億*,其他電子類,19644751872.0,252.5,,
6449,鈺邦,電子工業,19449608192.0,214.0,,
6449,鈺邦,電子零組件業,19449608192.0,214.0,,
6188,廣明,電腦及週邊設備業,18928412672.0,68.0,,
6547,高端疫苗,生技醫療業,18311319552.0,55.7,,
5284,jpp-KY,其他,17692372992.0,334.5,,
6217,中探針,電子零組件業,17102552064.0,150.0,,
6589,台康生技,生技醫療業,15261089792.0,51.2,,
6589,台康生技,化學生技醫療,15261089792.0,51.2,,
6576,逸達,生技醫療業,12603243520.0,80.0,,
5515,建國,建材營造,11229120512.0,55.7,,
6550,北極星藥業-KY,化學生技醫療,10961210368.0,12.25,,
8499,鼎炫-KY,其他,10908872704.0,265.0,,
5222,全訊,電子工業,10721552384.0,107.0,,
